checksum,derivedNs.amortizedInitializationPlusOperationsPerOp,derivedNs.remainingPerOperation,external.processWallNs,fixtureBytes,fixtureHash,heapUsedBytes.afterAllOperations,heapUsedBytes.afterFirstOperation,heapUsedBytes.afterFixture,heapUsedBytes.afterInitialization,heapUsedBytes.beforeFixture,javaHome,javaVendor,javaVmName,jvmVersion,library,loadedClassDelta.firstOperation,loadedClassDelta.fixturePreparation,loadedClassDelta.libraryInitialization,loadedClassDelta.remainingOperations,loadedClassesAfter.allOperations,loadedClassesAfter.firstOperation,loadedClassesAfter.fixture,loadedClassesAfter.initialization,operation,operationCount,pid,sample.planIndex,sample.randomizationSeed,sample.repetition,schemaVersion,threadAllocatedBytes.firstOperation,threadAllocatedBytes.fixturePreparation,threadAllocatedBytes.libraryInitialization,threadAllocatedBytes.remainingOperations,threadAllocatedBytes.supported,timingNs.firstOperation,timingNs.fixturePreparation,timingNs.initializationPlusOperations,timingNs.libraryInitialization,timingNs.mainEntryToFixtureStart,timingNs.operationsTotal,timingNs.remainingOperations
81,3.8298179E7,,102080327,2142,-959204706,10242624,10242624,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,,1392,1392,998,1195,deserialize,1,155809,178,20260812,7,1,1831080,1792272,1273568,,true,23077011,12177260,38298179,15221168,17615378,23077011,0
-1473038263736110079,1405618.54,216386.9797979798,898345079,2142,-959204706,7456336,12954432,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,525,80,635,227,2385,2158,998,1633,deserialize,100,155830,179,20260812,7,1,5165288,1792272,8435808,1289264,true,47666295,11877901,140561854,71473248,19718539,69088606,21422311
2173,1.3668341E7,,84946198,2142,-959204706,8362480,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,,1083,1083,998,1014,serialize,1,155876,180,20260812,7,1,1037744,1791024,280792,,true,10338441,13978416,13668341,3329900,21892862,10338441,0
59341087977409921,3866925.1,179929.33333333334,100330826,2142,-959204706,11366520,10290840,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,0,1393,1393,998,1195,serialize,10,155898,181,20260812,7,1,1854848,1792272,1273568,75888,true,22809535,11581722,38669251,14240352,17872205,24428899,1619364
-7711186731443673343,631527.46,169369.33333333334,149244660,2142,-959204706,12802584,10290840,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,25,1418,1393,998,1195,serialize,100,155920,182,20260812,7,1,1854848,1792272,1273568,1620040,true,28156352,18037857,63152746,18228830,19218682,44923916,16767564
-1473038263736110079,648481.61,179960.77777777778,134067704,2142,-959204706,13496288,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,27,1419,1392,998,1195,deserialize,100,155943,183,20260812,7,1,1831080,1792272,1273568,1934040,true,28765064,13679962,64848161,18266980,20276854,46581181,17816117
2173,4.4576009E7,,113267862,2142,-959204706,10290840,10290840,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,,1393,1393,998,1195,serialize,1,155967,184,20260812,7,1,1854848,1792272,1273568,,true,27871423,12741216,44576009,16704586,18651168,27871423,0
-7711186731443673343,1704534.67,188964.18181818182,918766576,2142,-959204706,19797000,10508096,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,423,80,635,284,2340,2056,998,1633,serialize,100,155988,185,20260812,7,1,4601224,1792272,8435808,1060112,true,52646127,15903941,170453467,99099886,23691945,71353581,18707454
-1473038263736110079,1596450.55,165619.51515151514,226444379,2142,-959204706,11643656,9478456,7436096,18147344,5568176,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,27,2026,1999,998,1599,deserialize,100,156033,186,20260812,7,1,6925640,1792272,10591488,1607552,true,67429344,11788083,159645055,75819379,18696314,83825676,16396332
-1473038263736110079,213094.28,85928.83838383839,86907157,2142,-959204706,10148648,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,100,156056,187,20260812,7,1,863600,1791024,280792,851960,true,9707737,12610167,21309428,3094736,19233581,18214692,8506955
2185675431948801,1362281.4,207423.55555555556,78102489,2142,-959204706,8717232,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,10,156083,188,20260812,7,1,863600,1791024,280792,77856,true,8934653,12968196,13622814,2821349,19208241,10801465,1866812
81,1.16863474E8,,820113856,2142,-959204706,12827848,12827848,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,520,80,635,,2153,2153,998,1633,deserialize,1,156105,189,20260812,7,1,5165288,1792272,8435808,,true,46648859,11620916,116863474,70214615,18193312,46648859,0
59341087977409921,1445415.8,167501.33333333334,76082816,2142,-959204706,8722464,8362480,7247920,7617552,5544128,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,10,156150,190,20260812,7,1,1037744,1791024,280792,28456,true,9972107,11394659,14454158,2974539,18660805,11479619,1507512
2185675431948801,3958040.6,246486.44444444444,103860132,2142,-959204706,11674024,10242624,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,0,1392,1392,998,1195,deserialize,10,156171,191,20260812,7,1,1831080,1792272,1273568,96696,true,23306355,12044858,39580406,14055673,17762117,25524733,2218378
81,1.1816272E8,,896820838,2142,-959204706,13180368,13180368,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,545,80,635,,2178,2178,998,1633,deserialize,1,156193,192,20260812,8,1,5165312,1792272,8435808,,true,47106024,11424404,118162720,71056696,20112363,47106024,0
2173,1.2877213E7,,76346956,2142,-959204706,8362480,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,,1083,1083,998,1014,serialize,1,156239,193,20260812,8,1,1037744,1791024,280792,,true,9907305,11866331,12877213,2969908,18982083,9907305,0
-7711186731443673343,173036.66,55515.444444444445,80088846,2142,-959204706,9080312,8362480,7247920,7617552,5544128,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,100,156261,194,20260812,8,1,1037744,1791024,280792,303736,true,9137306,11296894,17303666,2670331,18512445,14633335,5496029
-1473038263736110079,1475041.62,219896.0303030303,859987084,2142,-959204706,6617952,12735528,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,560,80,635,215,2408,2193,998,1633,deserialize,100,156284,195,20260812,8,1,5165448,1792272,8435808,1289000,true,49845936,11267006,147504162,75888519,17727371,71615643,21769707
2173,1.21374906E8,,192288694,2142,-959204706,6131264,6131264,7436096,18147368,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,,1881,1881,998,1599,serialize,1,156328,196,20260812,8,1,3464160,1792272,10592320,,true,46920382,12355546,121374906,74454524,20872279,46920382,0
-7711186731443673343,582941.31,135359.0303030303,122407900,2142,-959204706,12802584,10290840,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,25,1418,1393,998,1195,serialize,100,156351,197,20260812,8,1,1854848,1792272,1273568,1620040,true,28213479,12087369,58294131,16680108,18172672,41614023,13400544
-1473038263736110079,1555766.65,178682.80808080808,221030599,2142,-959204706,11644872,9479608,7436096,18147344,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,27,2026,1999,998,1599,deserialize,100,156373,198,20260812,8,1,6925640,1792272,10592896,1608024,true,63957886,12264715,155576665,73929181,18834003,81647484,17689598
-7711186731443673343,1319813.1,160601.12121212122,876984373,2142,-959204706,18974152,9471088,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,392,80,635,307,2332,2025,998,1633,serialize,100,156396,199,20260812,8,1,4601224,1792272,8435808,1060176,true,43260506,12966733,131981310,72821293,19179697,59160017,15899511
59341087977409921,1434317.9,176442.77777777778,75262633,2142,-959204706,8722464,8362480,7247920,7617552,5544128,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,10,156440,200,20260812,8,1,1037744,1791024,280792,28456,true,9992275,11416469,14343179,2762919,17813763,11580260,1587985
59341087977409921,1.19840542E7,207945.66666666666,182724316,2142,-959204706,5951264,5951264,7436096,18147352,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,2,1883,1881,998,1599,serialize,10,156462,201,20260812,8,1,3464160,1792272,10590272,38536,true,44464143,11792461,119840542,73504888,17567015,46335654,1871511
-7711186731443673343,1296692.47,116146.0,201988131,2142,-959204706,7375528,5950712,7436096,18147360,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,27,1908,1881,998,1599,serialize,100,156485,202,20260812,8,1,3464160,1792272,10591616,1126056,true,45960145,13897032,129669247,72210648,21816856,57458599,11498454
2185675431948801,1.33947551E7,382199.77777777775,832954040,2142,-959204706,14733128,12995360,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,514,80,635,86,2233,2147,998,1633,deserialize,10,156508,203,20260812,8,1,5165312,1792272,8435808,38856,true,51114645,12635455,133947551,79393108,19875584,54554443,3439798
2185675431948801,4002629.6,233259.0,106509420,2142,-959204706,11318072,10244520,7328528,8410272,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,0,1392,1392,998,1195,deserialize,10,156555,204,20260812,8,1,1831080,1792272,1273568,96696,true,24098012,13552991,40026296,13828953,19303792,26197343,2099331
-1473038263736110079,504903.56,141679.1616161616,114043583,2142,-959204706,13138440,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,27,1419,1392,998,1195,deserialize,100,156577,205,20260812,8,1,1831080,1792272,1273568,1934040,true,22580622,11566753,50490356,13883497,19117559,36606859,14026237
81,3.7880248E7,,99982790,2142,-959204706,10242624,10242624,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,,1392,1392,998,1195,deserialize,1,156601,206,20260812,8,1,1831080,1792272,1273568,,true,23540938,11487003,37880248,14339310,17683998,23540938,0
2185675431948801,1419483.3,218904.0,81626191,2142,-959204706,9075080,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,10,156622,207,20260812,8,1,863600,1791024,280792,77856,true,9440079,11118216,14194833,2784618,21183677,11410215,1970136
2185675431948801,1.47539834E7,353459.77777777775,210991081,2142,-959204706,9837360,9479512,7436096,18147352,5568176,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,0,1999,1999,998,1599,deserialize,10,156644,208,20260812,8,1,6925640,1792272,10592800,66312,true,68339613,11520717,147539834,76019083,18095286,71520751,3181138
-1473038263736110079,224599.22,94275.0202020202,89103147,2142,-959204706,10148624,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,100,156667,209,20260812,8,1,863600,1791024,280792,850824,true,10060634,12667966,22459922,3066061,19257335,19393861,9333227
2173,4.5185379E7,,116932879,2142,-959204706,10290840,10290840,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,,1393,1393,998,1195,serialize,1,156692,210,20260812,8,1,1854848,1792272,1273568,,true,26995975,14281249,45185379,18189404,22039598,26995975,0
81,1.3615758E7,,78240337,2142,-959204706,8359384,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,,1077,1077,998,1014,deserialize,1,156713,211,20260812,8,1,863600,1791024,280792,,true,10589494,12461897,13615758,3026264,18858249,10589494,0
59341087977409921,1.24104267E7,353537.8888888889,892145184,2142,-959204706,12261568,11058896,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,451,80,635,104,2188,2084,998,1633,serialize,10,156735,212,20260812,8,1,4601224,1792272,8435808,21760,true,43255937,12952074,124104267,77666489,19848062,46437778,3181841
2173,1.20351766E8,,837312139,2142,-959204706,10070896,10070896,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,382,80,635,,2015,2015,998,1633,serialize,1,156780,213,20260812,8,1,4601224,1792272,8435808,,true,43154034,12560413,120351766,77197732,19557892,43154034,0
81,1.2684481E8,,189817400,2142,-959204706,9658344,9658344,7436096,18147336,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,,1999,1999,998,1599,deserialize,1,156825,214,20260812,8,1,6925640,1792272,10592128,,true,58835521,11110850,126844810,68009289,18128808,58835521,0
59341087977409921,4027675.2,180740.88888888888,107572117,2142,-959204706,11366520,10290840,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,0,1393,1393,998,1195,serialize,10,156848,215,20260812,8,1,1854848,1792272,1273568,75888,true,24090818,12468920,40276752,14559266,19629297,25717486,1626668
-1473038263736110079,214477.75,88878.04040404041,85263561,2142,-959204706,10148648,8359384,7247920,7617552,5544128,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,100,156869,216,20260812,9,1,863600,1791024,280792,851888,true,9671707,12231651,21447775,2977142,18231954,18470633,8798926
2185675431948801,4095043.6,256025.55555555556,104438168,2142,-959204706,11674024,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,0,1392,1392,998,1195,deserialize,10,156894,217,20260812,9,1,1831080,1792272,1273568,96696,true,24489593,11712901,40950436,14156613,18031313,26793823,2304230
81,1.32372576E8,,195798072,2142,-959204706,9658296,9658296,7436096,18147328,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,,1999,1999,998,1599,deserialize,1,156916,218,20260812,9,1,6925640,1792272,10592320,,true,62509732,12307173,132372576,69862844,18111967,62509732,0
2173,1.12868909E8,,177675868,2142,-959204706,6132392,6132392,7436096,18147344,5568176,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,,1881,1881,998,1599,serialize,1,156939,219,20260812,9,1,3464160,1792272,10592256,,true,44738471,11128975,112868909,68130438,18643392,44738471,0
59341087977409921,1.22729614E7,283666.6666666667,840514745,2142,-959204706,10833560,9926744,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,383,80,635,66,2082,2016,998,1633,serialize,10,156962,220,20260812,9,1,4601224,1792272,8435808,21600,true,41945197,12281686,122729614,78231417,20914578,44498197,2553000
59341087977409921,1366001.3,170664.0,74133964,2142,-959204706,8722464,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,10,157007,221,20260812,9,1,1037744,1791024,280792,28456,true,9366480,11308374,13660013,2757557,17662436,10902456,1535976
2173,1.24202209E8,,882115464,2142,-959204706,10232432,10232432,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,406,80,635,,2040,2039,998,1633,serialize,1,157029,222,20260812,9,1,4601224,1792272,8435808,,true,43625416,12909534,124202209,80576793,20660427,43625416,0
-7711186731443673343,479592.43,107550.74747474748,109298120,2142,-959204706,12802584,10290840,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,25,1418,1393,998,1195,serialize,100,157072,223,20260812,9,1,1854848,1792272,1273568,1620208,true,22989654,11516860,47959243,14322065,17799965,33637178,10647524
59341087977409921,1.16953775E7,193987.11111111112,180544042,2142,-959204706,6286552,5928704,7436096,18150256,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,2,1883,1881,998,1599,serialize,10,157095,224,20260812,9,1,3464160,1792272,10592256,38536,true,44158824,11364151,116953775,71049067,18426159,45904708,1745884
-7711186731443673343,181055.45,58779.88888888889,81542901,2142,-959204706,8722464,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,0,1083,1083,998,1014,serialize,100,157118,225,20260812,9,1,1037744,1791024,280792,303736,true,9481289,11753467,18105545,2805047,19225361,15300498,5819209
-7711186731443673343,1255089.09,109535.71717171717,190423810,2142,-959204706,7734408,6130656,7436096,18147336,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,282,80,601,27,1908,1881,998,1599,serialize,100,157142,226,20260812,9,1,3464160,1792272,10591264,1126056,true,45956955,11534412,125508909,68707918,18499338,56800991,10844036
2185675431948801,1.26784182E7,409435.6666666667,867953161,2142,-959204706,14673496,13139880,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,526,80,635,70,2229,2159,998,1633,deserialize,10,157165,227,20260812,9,1,5165288,1792272,8435808,38856,true,50684670,13382698,126784182,72414591,19571147,54369591,3684921
-1473038263736110079,1445898.87,225001.1313131313,844989832,2142,-959204706,6237040,12357120,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,517,80,635,219,2369,2150,998,1633,deserialize,100,157212,228,20260812,9,1,5165288,1792272,8435808,1289232,true,47523958,11774877,144589887,74790817,19437894,69799070,22275112
2173,1.348323E7,,79918516,2142,-959204706,8362480,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,,1083,1083,998,1014,serialize,1,157258,229,20260812,9,1,1037744,1791024,280792,,true,10427438,12556104,13483230,3055792,20078326,10427438,0
-1473038263736110079,1457176.27,166494.77777777778,209501201,2142,-959204706,11284552,9477232,7436096,18147360,5568176,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,27,2026,1999,998,1599,deserialize,100,157280,230,20260812,9,1,6925640,1792272,10590912,1608024,true,62406274,10986715,145717627,66828370,18864319,78889257,16482983
81,4.1314654E7,,107904932,2142,-959204706,10242624,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,,1392,1392,998,1195,deserialize,1,157304,231,20260812,9,1,1831080,1792272,1273568,,true,24214682,12962042,41314654,17099972,19373683,24214682,0
81,1.51438294E8,,888501182,2142,-959204706,13841000,13841000,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,609,80,635,,2243,2242,998,1633,deserialize,1,157325,232,20260812,9,1,5165288,1792272,8435808,,true,56537673,15143240,151438294,94900621,22132050,56537673,0
2185675431948801,1.43060422E7,362734.0,207969491,2142,-959204706,10016032,9658184,7436096,18147352,5210232,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,0,1999,1999,998,1599,deserialize,10,157370,233,20260812,9,1,6925640,1792272,10591744,66312,true,65497713,12522861,143060422,74298103,18498146,68762319,3264606
2185675431948801,1607838.1,210427.0,88670313,2142,-959204706,8717232,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,10,157393,234,20260812,9,1,863600,1791024,280792,77856,true,10601198,14549785,16078381,3583340,22440565,12495041,1893843
-7711186731443673343,1347708.59,180220.25252525252,871986220,2142,-959204706,20852272,10112976,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,396,80,635,317,2346,2029,998,1633,serialize,100,157415,235,20260812,9,1,4601248,1792272,8435808,1060528,true,44339174,11360342,134770859,72589880,20434230,62180979,17841805
-1473038263736110079,541213.2,147926.9292929293,118296120,2142,-959204706,13138440,10242624,7328528,8415560,5246320,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,197,80,197,27,1419,1392,998,1195,deserialize,100,157476,236,20260812,9,1,1831080,1792272,1273568,1934040,true,24051412,11959656,54121320,15425142,18827700,38696178,14644766
59341087977409921,3848673.4,184323.22222222222,99263883,2142,-959204706,11366520,10290840,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,0,1393,1393,998,1195,serialize,10,157499,237,20260812,9,1,1854848,1792272,1273568,75888,true,22934761,11246937,38486734,13893064,17466114,24593670,1658909
2173,3.6438928E7,,99409439,2142,-959204706,10290840,10290840,7328528,8415560,5604264,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,gson,198,80,197,,1393,1393,998,1195,serialize,1,157521,238,20260812,9,1,1854848,1792272,1273568,,true,22860790,11809542,36438928,13578138,18537962,22860790,0
81,1.1739799E7,,76325256,2142,-959204706,8359384,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,,1077,1077,998,1014,deserialize,1,157542,239,20260812,9,1,863600,1791024,280792,,true,8936696,13813273,11739799,2803103,18020813,8936696,0
2173,1.15835063E8,,840021670,2142,-959204706,9968224,9968224,7736064,16353192,5757488,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,387,80,635,,2020,2020,998,1633,serialize,1,157564,240,20260812,10,1,4601224,1792272,8435808,,true,42010458,11979393,115835063,73824605,20748894,42010458,0
81,1.4744122E7,,86908668,2142,-959204706,8359384,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,,1077,1077,998,1014,deserialize,1,157608,241,20260812,10,1,863600,1791024,280792,,true,11259029,14678170,14744122,3485093,23222233,11259029,0
81,1.23482478E8,,860896445,2142,-959204706,12614200,12614200,7736064,16353192,6115432,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,fory,509,80,635,,2142,2142,998,1633,deserialize,1,157630,242,20260812,10,1,5165288,1792272,8435808,,true,46207307,11896767,123482478,77275171,19516242,46207307,0
2173,1.3443434E7,,77032683,2142,-959204706,8362480,8362480,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,69,80,16,,1083,1083,998,1014,serialize,1,157674,243,20260812,10,1,1037744,1791024,280792,,true,10124795,11882469,13443434,3318639,19529868,10124795,0
2185675431948801,1511091.7,210003.88888888888,80645279,2142,-959204706,9075080,8359384,7247920,7617552,5186184,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,kotlinx,63,80,16,0,1077,1077,998,1014,deserialize,10,157695,244,20260812,10,1,863600,1791024,280792,77856,true,10109356,13048506,15110917,3111526,19629466,11999391,1890035
2185675431948801,1.29442684E7,306375.1111111111,190553066,2142,-959204706,10014856,9657008,7436096,18147344,5568176,$SDKMAN_DIR/candidates/java/25.0.4-librca,BellSoft,OpenJDK 64-Bit Server VM,25.0.4+9-LTS,jackson,400,80,601,0,1999,1999,998,1599,deserialize,10,157717,245,20260812,10,1,6925640,1792272,10590912,66312,true,60735001,10995762,129442684,65950307,17216612,63492377,2757376
